cluster,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi
0,12.663687043239037,149.41530329456327,66.48909123982152,74.96853098216292,1490.6958601281874,1308.6475384401383,5453.630300566036,260.76790395583,-39.804965920155354,617.589843457419,34.80662443690767,111.35924542837883,1044.2027777480553,13.32384121138247,3.1537295226683155,-12.621061022716503,491.6940304097071,17.683633114693922,137.77357501310763,368.80690584974906,59.186695485624405,36.163069647003084,30.305059011095945,-3.984047922217472,9.964432127431426,0.24901755174393989,-16.757359712666183,7.984311144875855,22.63063191271663,10.54278794882511,-5.401587182696918,2.000058493924087,16.29755431196425,5.395847644727822,-11.07948503946537,231.540034454348,307.4451351958655,281.94173791155293,223.27370876445852
1,14.534831110557104,140.88134114421038,117.41705097843699,159.63995180522664,1925.963542315842,797.0466367526694,4450.969483568075,269.3247538327309,-35.42290913623376,737.3964227844946,36.06177240433759,128.4418338942208,1115.9015123187503,13.76949187751898,6.147743986040048,-8.080790643566711,491.7284681540571,19.344873073248397,159.15914662013378,262.67113299264616,58.67896464331713,39.563812372761674,27.42621629482017,-1.1581903416566264,11.470516708906857,2.4116339136094207,-12.497447615881788,11.410393729139942,24.726365172351137,14.064415499882315,-1.2464089354217651,5.126137355104081,18.09841151134971,8.23792291606078,-6.871851067071055,273.9409198554157,299.0166188873655,296.72402260168684,246.22204910881217
2,18.53504986400742,134.88568550418051,165.91445552533494,235.8236526644505,2150.7759443940768,731.9487458446661,4200.283368590713,274.71520096705956,-34.15252946509538,756.3311373023068,36.97264027400058,139.83848091064772,923.6386219401631,13.675441178157712,7.036367482623259,-7.610798831469774,444.0479097411101,20.54137201571473,172.49311977435278,170.82480104764784,61.16087438299587,46.38912058023576,28.151908935227304,0.13292904872233638,12.877775091500933,3.6185776166011614,-11.47878983244385,12.078415096874185,25.61816258688483,14.593815519962519,-1.1505960175951218,6.105813102313584,19.247889594035986,9.106017259326224,-6.31453477049129,218.47565226150903,273.84692253450186,251.04283267855345,180.25796313085525
3,11.18611323317223,153.83102736043912,25.184817361287948,35.22635316752964,1193.018815607051,1407.6026936026935,5861.959199841553,259.25161983985515,-39.0460260872027,496.87273293155647,32.118178988767596,105.41971536089183,1071.254534136887,13.304705078583776,1.9174772939479328,-12.864629488159084,476.1999547293665,16.075647228588924,130.0371502136208,459.4338341397165,66.11493082081317,33.91645587527965,28.93981552216813,-4.382500070735246,9.27217836629598,0.09297362042460403,-15.902590800629708,4.932451499118147,19.782429335370836,8.280784502353121,-6.735328070622166,0.2747191806015338,14.527215195842508,4.186511237491646,-11.319176828980726,240.54387007328185,294.9998585292703,283.63042186571596,252.07169736581503
4,13.68541897065086,144.6818715440238,108.18070608251807,121.2722756273926,1720.2649425776265,989.7300042535092,4877.457643555934,266.55661420672055,-37.11107783921806,666.1593194385368,35.68480306252909,121.88544449170566,1088.5163760102084,13.065461680415062,4.865978732454703,-9.90536962994461,457.7785452998724,18.826485750743835,151.4379413015738,346.6611994895789,60.23322841344109,41.19289834113149,28.73119183326304,-2.245787608110031,11.051776548986714,1.7572641429178215,-14.07265447327378,9.315380689068602,23.76117793846583,12.347998298596352,-2.987147029632756,3.53443187296201,17.40701318587959,7.0524928399264954,-8.52979668226284,252.9731348362399,279.7323692045938,288.93732028923864,266.8837771161208
5,12.381486626064065,146.50040958791894,67.20486519215015,95.00990134273604,1669.4742315774477,988.3070840901805,4900.174947465897,264.4738041813584,-37.41264023934216,702.2663746126723,34.81529721836387,117.96730419916658,1201.7429568686114,13.82752786978702,4.73225415820783,-9.58349538768401,543.6679132385939,17.983598675072,147.1727036364284,350.4794315632012,57.73928838551127,33.25945791929318,27.5678633757174,-2.6377687549714337,10.098906578338008,1.1613075945910625,-14.251700680272267,10.049164796808853,23.42742458239811,12.700413149552936,-2.6904939986465113,3.705804276335359,16.76309197326399,6.930865120917439,-8.47092756823481,285.7039213591196,332.7936033051964,323.1731666488585,260.06970117890086
6,11.391702152826749,143.27569789448782,36.573012775017745,76.81742370475514,1599.0128341613438,639.0356044475988,4534.56159806009,275.2208126330731,-31.015844570617865,576.9353264726757,32.551032055830724,131.93647977288856,1380.5792524248877,13.546667278397575,5.692426661934754,-5.405698485923865,492.53436243198485,17.291060444759765,166.74435178613675,350.801602791578,69.23142890939201,35.16832268748514,22.69634492547931,-1.2669919564702057,10.854246510527467,4.196944247299173,-8.64183522592848,7.393988052992525,20.92353422443037,12.555460925794277,-0.4746086665089515,3.0636611860265077,15.889315708540204,8.376252858607153,-4.558218003311973,319.58439791814527,293.9171693872723,368.360805535841,398.7637213153537
7,16.947605572485614,122.20771658685241,122.64203308663474,387.91646713104046,2651.3089355681323,300.50321070962127,3246.1251088376143,289.65324336090555,-27.56337614279512,806.1085655202438,36.8342457553321,167.4440030474532,1186.6285916412712,14.069972056260346,10.089513495864345,-2.134098824553764,473.75881584675665,22.1451131911184,208.8209077057031,79.39959730082717,67.2452111449717,46.891456247278775,24.27908685241592,3.3024415904803033,15.662382092584409,7.1054128573501645,-5.595379843273801,13.624024089391897,26.17447576549098,17.17574190973731,3.2685967203599153,8.462516325642142,20.918647511246956,12.14060912784765,-1.1631874909302327,309.08935568132347,279.97942969090116,303.80675881584676,293.7663256421419
8,13.157633416234633,142.06304497647798,81.489677284032,106.41614478770263,1717.9790249602972,733.2404938123633,4550.32607197435,273.58852964971686,-33.13492344110548,621.4841638450245,34.04855122404342,131.51736433643964,1199.4693314955202,13.463958806516109,5.729415994965949,-6.853929823510015,449.82300062925117,18.291903634675222,166.88634524915352,334.17235489767177,66.10044047583376,40.76940640637637,25.145701615077588,-1.1303359002786577,11.323940510792088,3.613400053935716,-10.407591965561135,8.514228068598438,22.441833218469625,12.765032611192495,-1.2789310720243785,3.6918816608237375,16.88329088384765,8.189162896153617,-5.843255525924148,278.37755071464954,268.42852006112724,319.21286668864053,333.4757738291433
9,16.12922184103365,131.27108916605212,148.34348648561993,308.5433646477925,2396.248741543493,482.24444515694637,3690.0082400846454,277.78729680336016,-31.581400493764267,843.6712623040174,37.42074449325043,146.51630382506653,1157.8948347173682,14.008512214871526,8.636939305524212,-4.784651640001226,490.7313796530828,21.386809452050514,180.84055275898555,151.96354483952675,60.443008753086026,43.75565103081189,26.17126230401733,1.363465751814235,13.741569142967009,4.444109568544472,-8.952776085585825,13.792463154744597,26.539563093825528,16.523821432770117,1.641278442185796,7.57809804738845,20.1403443521758,10.484138638622335,-3.6555730118524568,295.328449132707,293.98162813812564,301.1071531629741,267.4906216935458
10,21.1215782076168,128.29007429221605,194.17361622381367,327.02797670838635,2432.6084599424403,495.92825112107624,3690.0416304129576,282.6255940030788,-30.23336456729744,800.1765611404859,37.332059433771505,154.35807509537514,888.9018138009504,13.599177595164713,8.683970283113998,-4.9051000602369115,421.0477879659996,21.622314436784624,189.91888093166455,100.57251857305401,64.69687437253197,51.545766682284004,26.527601900808605,1.763244316533917,14.326812127702338,5.574872275394345,-8.135064587377048,12.935448318943042,26.38793476563354,16.015730763224347,0.6060616201503649,7.349675389866907,20.357421413113858,10.795241282377717,-3.764130022533152,212.00046850947058,255.27146777324143,246.77973361890102,174.82785623452244
11,15.842231392150037,136.10806307877098,130.49025533728545,209.2212793986594,2101.5823549924444,664.7383083420513,4142.566430315006,274.6475454298888,-33.42559184780433,753.751985741408,36.362875353558344,138.53167499709403,1086.1833081483203,13.470300446965457,7.1261110465342234,-6.728825216010001,479.83079545894844,20.050957030493333,171.67614010616452,206.27106823201208,61.216997946452786,41.952061296447056,26.77995079235845,0.04299340023505953,12.484646828625088,3.682143180027541,-10.711640642152913,11.977899828225054,25.18139537887324,14.800195668177839,-0.4505560075942399,6.0104027019001,18.83291035426925,9.24114714505279,-5.581108657186746,266.8715758068891,289.79218489674145,291.96522530900074,237.55870045333023
12,9.165868049347418,152.38494546754873,5.6529590559628105,43.64026461648489,1325.6198819953513,1261.1281959592347,5547.681923833363,258.43804755944933,-39.305560522081116,608.1669944573574,32.819470767030154,106.05238691221169,1414.551939924906,14.05412122295729,2.8047559449311708,-11.583246915787603,648.6992669408189,16.227230466654692,132.88575004469874,522.892365456821,59.31736098694797,25.242320758090422,27.80818880743762,-4.260343286250676,8.901269443947836,-0.3402050181774841,-16.012682519816508,7.540377853268957,21.049192442934633,10.32544847726325,-4.762000119196612,1.639883187317483,14.975075987841926,4.99274688598844,-10.387609511889888,334.62900053638475,406.3457893795816,374.4857858036832,299.0886822814232
