cluster,,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi
0,0.0,9.1,137.0,3.0,29.0,1150.0,453.0,4173.0,267.0,-34.8,419.0,29.9,111.0,1203.0,11.9,3.3,-8.5,439.0,15.3,134.0,208.0,65.0,29.3,19.1,-3.6999999999999997,9.266666666666666,2.533333333333333,-11.700000000000001,3.1333333333333333,17.633333333333333,9.299999999999999,-3.1,-0.20000000000000018,13.633333333333335,5.933333333333334,-7.333333333333333,273.0,254.0,319.0,330.0
0,0.25,11.0,140.0,23.0,67.0,1558.0,580.0,4391.0,274.0,-31.8,560.0,32.2,129.0,1340.0,13.4,5.5,-6.0,475.0,17.0,161.0,313.0,68.0,33.9,22.2,-1.7666666666666664,10.533333333333333,3.8333333333333326,-9.299999999999999,6.733333333333334,20.433333333333334,12.399999999999999,-0.8333333333333334,2.533333333333333,15.566666666666668,8.166666666666666,-5.1,307.0,282.0,355.0,388.0
0,0.5,11.5,143.0,36.0,77.0,1614.0,628.0,4491.0,276.0,-31.0,580.5,32.7,133.0,1374.0,13.5,5.8,-5.4,493.0,17.4,168.0,344.0,69.0,35.3,22.8,-1.3,10.866666666666667,4.266666666666667,-8.633333333333335,7.7,21.033333333333335,12.766666666666666,-0.3333333333333333,3.1,15.933333333333332,8.5,-4.5,320.0,296.0,364.0,401.0
0,0.75,12.0,146.0,49.0,90.0,1684.0,682.0,4605.0,277.0,-30.1,601.0,33.1,137.0,1427.0,13.7,6.1,-4.8,509.0,17.7,175.0,380.0,71.0,36.6,23.4,-0.5333333333333335,11.233333333333333,4.633333333333334,-7.933333333333333,8.4,21.53333333333333,13.1,0.06666666666666672,3.9666666666666663,16.366666666666667,8.799999999999999,-3.966666666666667,333.0,305.0,384.0,411.0
0,1.0,13.3,155.0,88.0,121.0,1831.0,925.0,5357.0,281.0,-28.8,649.0,34.2,144.0,1527.0,14.6,6.7,-3.5,542.0,18.5,186.0,578.0,75.0,40.4,25.6,0.4666666666666668,12.166666666666666,5.433333333333334,-6.6000000000000005,10.0,22.766666666666666,13.800000000000002,1.3333333333333333,5.033333333333334,17.166666666666668,9.5,-2.733333333333333,366.0,324.0,409.0,443.0
1,0.0,5.3,146.0,0.0,5.0,618.0,1019.0,5171.0,243.0,-43.7,348.0,28.2,72.0,891.0,11.3,-2.6,-17.5,386.0,12.4,94.0,313.0,55.0,20.1,26.6,-8.533333333333333,6.133333333333333,-3.9666666666666663,-20.400000000000002,-0.36666666666666653,15.166666666666666,2.8333333333333335,-11.633333333333335,-4.5,10.700000000000001,-0.6,-16.066666666666666,189.0,233.0,222.0,192.0
1,0.25,10.6,152.0,8.0,29.0,1137.0,1307.0,5708.0,257.0,-40.3,450.0,31.4,101.0,1027.0,13.1,1.6,-13.7,457.0,15.7,126.0,424.0,63.0,32.5,28.1,-4.933333333333333,8.666666666666666,-0.5666666666666668,-17.099999999999998,4.2,19.0,7.866666666666667,-7.2,-0.06666666666666672,14.199999999999998,3.7999999999999994,-12.133333333333335,222.0,284.0,271.0,237.0
1,0.5,11.2,154.0,21.0,35.0,1207.0,1432.0,5865.0,259.0,-39.3,505.0,32.3,104.0,1064.0,13.3,1.9,-13.1,479.0,16.1,129.0,448.0,67.0,34.0,28.9,-4.466666666666667,9.200000000000001,-0.06666666666666672,-16.083333333333332,5.133333333333333,19.966666666666665,8.466666666666667,-6.833333333333333,0.4666666666666665,14.6,4.133333333333334,-11.6,239.0,297.0,281.0,247.0
1,0.75,11.8,156.0,41.0,41.0,1263.0,1500.0,5981.0,262.0,-37.7,540.0,32.9,110.0,1127.0,13.5,2.3,-11.9,495.0,16.5,133.0,493.0,69.0,35.4,29.7,-3.8000000000000003,9.833333333333334,0.7666666666666666,-14.6,5.833333333333333,20.666666666666668,8.833333333333334,-6.2,0.7333333333333334,14.966666666666667,4.666666666666667,-10.433333333333334,259.0,308.0,297.0,267.0
1,1.0,14.7,171.0,101.0,76.0,1490.0,2263.0,7486.0,269.0,-35.4,615.0,34.1,123.0,1385.0,14.8,3.9,-9.8,615.0,17.8,151.0,832.0,71.0,42.5,31.2,-2.3666666666666667,11.233333333333334,2.433333333333333,-12.433333333333332,7.066666666666667,21.666666666666668,10.666666666666666,-4.066666666666667,1.9666666666666666,16.266666666666666,6.5,-8.299999999999999,317.0,376.0,378.0,313.0
