cluster,,AHM,bFFP,CMD,DD18,DD5,DD_0,DD_18,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,RH,SHM,TD,Tmin_sp,Tmin_su,Tmin_fa,Tmin_wi,Tmax_sp,Tmax_su,Tmax_fa,Tmax_wi,Tave_sp,Tave_su,Tave_fa,Tave_wi,PPT_sp,PPT_su,PPT_fa,PPT_wi,cluster8,cluster9
0,0.0,13.7,108.0,45.0,199.0,2088.0,196.0,2754.0,268.0,-35.2,656.0,33.3,128.0,1016.0,12.1,7.1,-7.1,394.0,19.9,156.0,31.0,54.0,35.1,20.3,-1.0333333333333332,11.799999999999999,2.266666666666667,-12.166666666666666,10.466666666666667,22.5,14.233333333333334,-0.6333333333333333,5.933333333333334,18.666666666666664,8.966666666666667,-5.8,233.0,229.0,247.0,193.0,1.0,0.0
0,0.25,15.7,125.0,116.0,292.0,2353.0,328.0,3342.0,277.0,-31.9,811.0,36.7,144.0,1138.0,13.8,8.5,-5.0,458.0,21.2,178.0,93.0,60.0,42.9,24.7,1.1333333333333335,13.533333333333333,4.166666666666667,-9.200000000000001,13.233333333333334,25.933333333333337,16.366666666666667,1.5666666666666667,7.366666666666667,19.933333333333334,10.3,-3.8666666666666667,289.0,274.0,292.0,259.0,1.0,0.0
0,0.5,16.4,129.0,138.0,329.0,2483.0,425.0,3536.0,281.0,-30.6,836.0,37.3,152.0,1174.0,14.0,9.2,-4.1,482.0,21.6,188.0,127.0,62.0,45.2,25.8,1.9666666666666668,14.300000000000002,5.066666666666667,-8.1,13.799999999999999,26.5,16.8,2.1666666666666665,7.866666666666667,20.366666666666667,10.966666666666667,-3.0,301.0,288.0,303.0,280.0,4.0,0.0
0,0.75,17.0,132.0,165.0,364.0,2571.0,499.0,3742.0,287.0,-28.4,857.0,37.8,162.0,1204.0,14.2,9.7,-2.6,507.0,22.0,201.0,158.0,66.0,47.3,26.3,2.9,15.200000000000001,6.533333333333334,-6.266666666666667,14.333333333333334,26.96666666666667,17.2,3.0,8.266666666666667,20.76666666666667,11.766666666666667,-1.6333333333333335,311.0,301.0,314.0,298.0,4.0,0.0
0,1.0,19.6,141.0,208.0,612.0,3169.0,679.0,4170.0,302.0,-24.1,917.0,39.4,194.0,1381.0,15.4,12.1,-0.2,613.0,24.2,245.0,261.0,76.0,54.4,28.3,5.833333333333333,18.46666666666667,9.833333333333334,-3.0,16.066666666666666,28.599999999999998,18.73333333333333,4.4,10.533333333333333,23.099999999999998,14.133333333333333,0.6333333333333334,368.0,363.0,395.0,341.0,5.0,0.0
1,0.0,14.7,122.0,78.0,127.0,1802.0,403.0,3443.0,266.0,-37.8,650.0,34.5,123.0,760.0,11.9,5.2,-11.5,373.0,18.8,152.0,63.0,55.0,38.0,24.8,-1.9666666666666666,10.933333333333332,1.5333333333333339,-14.933333333333332,10.200000000000001,23.066666666666666,12.1,-4.566666666666666,4.2,17.566666666666666,7.333333333333333,-9.733333333333333,173.0,219.0,204.0,123.0,1.0,1.0
1,0.25,17.9,131.0,151.0,221.0,2106.0,541.0,3824.0,274.0,-35.5,719.0,36.7,138.0,860.0,13.3,6.6,-8.7,421.0,20.3,170.0,112.0,60.0,44.9,26.3,-0.09999999999999994,12.733333333333334,3.333333333333334,-12.666666666666666,11.633333333333333,25.366666666666664,13.966666666666667,-1.9333333333333336,5.8,19.066666666666666,8.666666666666666,-7.266666666666667,202.0,259.0,235.0,159.0,1.0,1.0
1,0.5,19.0,134.0,172.0,246.0,2189.0,635.0,4053.0,276.0,-33.1,767.0,37.1,141.0,918.0,13.6,7.4,-6.6,439.0,20.8,175.0,152.0,62.0,47.1,27.5,0.4333333333333333,13.166666666666666,3.8666666666666667,-10.366666666666667,12.333333333333334,25.7,15.133333333333335,-0.3666666666666667,6.366666666666667,19.400000000000002,9.433333333333334,-5.3,214.0,271.0,248.0,176.0,5.0,1.0
1,0.75,20.4,136.0,194.0,297.0,2348.0,818.0,4354.0,279.0,-31.4,804.0,37.3,148.0,965.0,14.1,8.2,-5.4,457.0,21.3,183.0,188.0,63.0,50.0,29.2,1.1666666666666667,13.733333333333334,4.666666666666667,-9.1,12.833333333333334,26.26666666666667,15.766666666666667,0.43333333333333335,7.099999999999999,20.033333333333335,10.233333333333334,-4.266666666666667,230.0,281.0,262.0,195.0,5.0,1.0
1,1.0,24.2,143.0,270.0,396.0,2613.0,1085.0,4812.0,291.0,-27.9,911.0,39.0,169.0,1085.0,15.4,9.5,-3.8,517.0,22.4,205.0,297.0,70.0,58.4,31.7,2.9666666666666663,15.766666666666666,7.466666666666666,-6.333333333333333,15.433333333333335,28.133333333333336,17.633333333333333,2.3666666666666667,8.633333333333333,21.166666666666668,11.866666666666667,-2.6333333333333333,284.0,329.0,333.0,250.0,5.0,1.0
2,0.0,11.2,126.0,0.0,74.0,1613.0,485.0,3710.0,261.0,-37.7,586.0,32.9,114.0,890.0,8.7,4.7,-10.1,412.0,17.4,143.0,122.0,53.0,28.9,24.2,-2.6,9.6,0.6333333333333332,-14.933333333333332,9.433333333333332,21.733333333333334,11.700000000000001,-3.466666666666667,3.6999999999999997,16.2,6.7,-8.766666666666666,207.0,235.0,233.0,150.0,1.0,2.0
2,0.25,14.3,136.0,107.0,160.0,1930.0,653.0,4142.0,269.0,-35.6,722.0,35.7,128.0,1041.0,13.1,6.2,-8.2,459.0,19.3,159.0,192.0,58.0,38.4,26.4,-1.1666666666666667,11.4,2.3666666666666667,-12.666666666666666,11.133333333333335,24.5,13.966666666666663,-1.3666666666666665,5.1000000000000005,18.099999999999998,8.266666666666666,-6.900000000000001,251.0,277.0,278.0,211.0,1.0,2.0
2,0.5,15.0,139.0,127.0,180.0,2011.0,713.0,4265.0,272.0,-34.2,745.0,36.2,133.0,1100.0,13.5,6.7,-7.2,482.0,19.7,164.0,234.0,60.0,41.0,27.0,-0.4666666666666668,11.933333333333332,3.0333333333333328,-11.300000000000002,11.700000000000001,25.0,14.433333333333332,-0.7999999999999999,5.6000000000000005,18.433333333333334,8.799999999999999,-6.066666666666666,269.0,296.0,292.0,242.0,1.0,2.0
2,0.75,16.1,141.0,146.0,205.0,2087.0,796.0,4451.0,274.0,-33.2,766.0,36.7,138.0,1157.0,14.0,7.1,-6.6,508.0,20.1,171.0,273.0,62.0,43.1,27.9,-0.033333333333333215,12.5,3.5999999999999996,-10.5,12.266666666666666,25.433333333333334,14.933333333333332,-0.26666666666666666,6.066666666666666,18.8,9.166666666666666,-5.433333333333334,289.0,311.0,309.0,271.0,1.0,2.0
2,1.0,19.2,147.0,224.0,345.0,2444.0,1011.0,4909.0,289.0,-29.2,877.0,38.6,162.0,1478.0,16.3,8.6,-4.7,625.0,21.9,200.0,393.0,73.0,50.8,29.6,2.4,15.166666666666666,7.0,-7.233333333333333,14.033333333333331,27.333333333333332,16.46666666666667,1.9333333333333333,7.3,20.599999999999998,11.066666666666668,-3.6,367.0,381.0,430.0,399.0,7.0,2.0
3,0.0,3.1,137.0,0.0,3.0,505.0,644.0,4083.0,240.0,-46.0,360.0,25.7,65.0,945.0,10.8,-2.0,-16.8,449.0,10.4,91.0,206.0,52.0,9.9,24.6,-10.333333333333334,4.8,-4.733333333333333,-23.066666666666666,0.3000000000000001,13.1,4.066666666666667,-8.933333333333332,-3.933333333333333,9.299999999999999,0.2666666666666669,-15.566666666666668,211.0,263.0,250.0,169.0,0.0,3.0
3,0.25,10.8,145.0,27.0,68.0,1543.0,955.0,4821.0,262.0,-38.4,668.0,34.0,112.0,1116.0,13.4,4.1,-10.2,518.0,17.3,139.0,315.0,57.0,29.6,27.2,-3.4666666666666663,9.366666666666667,0.4666666666666668,-15.166666666666666,9.200000000000001,22.53333333333333,11.9,-3.3666666666666667,3.033333333333333,16.066666666666666,6.266666666666667,-9.133333333333333,262.0,319.0,300.0,227.0,3.0,3.0
3,0.5,12.0,147.0,60.0,87.0,1642.0,1019.0,4953.0,264.0,-37.8,702.0,34.8,117.0,1226.0,13.8,4.6,-9.8,548.0,17.8,146.0,360.0,58.0,32.6,27.7,-2.766666666666667,9.966666666666667,0.9666666666666668,-14.633333333333333,10.0,23.36666666666667,12.633333333333335,-2.8000000000000003,3.5333333333333337,16.633333333333333,6.8,-8.766666666666667,294.0,334.0,326.0,269.0,6.0,3.0
3,0.75,13.1,150.0,88.0,105.0,1723.0,1074.0,5113.0,266.0,-37.0,716.0,35.2,121.0,1334.0,14.2,5.0,-9.3,595.0,18.3,151.0,420.0,59.0,35.0,28.1,-2.2666666666666666,10.466666666666667,1.4000000000000001,-13.866666666666667,10.366666666666667,23.8,13.0,-2.466666666666667,3.966666666666667,17.066666666666666,7.199999999999999,-8.200000000000001,320.0,363.0,357.0,295.0,6.0,3.0
3,1.0,15.6,174.0,151.0,223.0,2144.0,2113.0,7278.0,274.0,-33.9,841.0,37.2,136.0,2611.0,17.8,7.3,-6.7,1049.0,20.3,171.0,1639.0,68.0,41.0,30.9,0.0,12.4,3.5,-10.933333333333332,13.0,25.96666666666667,15.633333333333335,0.26666666666666666,6.5,19.099999999999998,9.166666666666668,-5.433333333333334,637.0,644.0,699.0,632.0,7.0,3.0
4,0.0,9.1,130.0,2.0,27.0,1150.0,323.0,4112.0,267.0,-34.8,419.0,27.0,111.0,1203.0,11.9,3.3,-8.5,427.0,13.7,134.0,130.0,65.0,29.3,15.4,-3.6999999999999997,9.266666666666666,2.533333333333333,-11.700000000000001,3.1333333333333333,15.033333333333333,9.299999999999999,-3.1,-0.20000000000000018,12.266666666666666,5.933333333333334,-7.333333333333333,273.0,252.0,319.0,330.0,2.0,4.0
4,0.25,11.1,138.0,21.0,48.0,1529.0,514.0,4329.0,274.0,-31.6,542.0,30.9,130.0,1323.0,13.4,5.6,-5.8,464.0,16.1,164.0,258.0,68.0,33.6,20.7,-1.6333333333333335,10.266666666666666,3.9666666666666663,-9.133333333333335,7.0,19.433333333333334,12.466666666666667,-0.6999999999999998,2.6999999999999997,14.833333333333334,8.266666666666667,-4.8999999999999995,302.0,272.0,350.0,387.0,2.0,4.0
